local_use,gbif
Astragalus eremiticus,Astragalus eremiticus
Pleuraphis jamesii,Hilaria jamesii
Achnatherum speciosum,Pappostipa speciosa
Achnatherum thurberianum,Eriocoma thurberiana
Hesperostipa comata,Stipa comata
Nothocalais troximoides,Microseris troximoides
Achnatherum lettermanii,Eriocoma lettermanii
Achnatherum occidentale,Eriocoma occidentalis
Achnatherum lemmonii,Eriocoma lemmonii
Achnatherum webberi,Eriocoma webberi
Achnatherum nevadense,Eriocoma nevadensis
